Title,Brand,Reviews,Rating,Price,Image URL,Product URL
No Title,Unknown Brand,448,4.4 out of 5 stars,999,https://m.media-amazon.com/images/I/61bavIb4xJL._AC_UL320_.jpg,https://www.amazon.in#
No Title,Unknown Brand,448,4.4 out of 5 stars,999,https://m.media-amazon.com/images/I/61bavIb4xJL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU1MDIxNDk2NjMzMjo6MDo6&url=%2FPandas-Box-Krishna-Infants-Toddlers%2Fdp%2FB0F5N2W5G1%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0F5N2W5G1%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,7,5.0 out of 5 stars,899,https://m.media-amazon.com/images/I/512cGrVqB0L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDUzODkxNjMxMzgzMjo6MTo6&url=%2FOLSIC-Breathing-Teddy-Newborns-Multicolor%2Fdp%2FB0F4D45TLR%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0F4D45TLR%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,7,4.1 out of 5 stars,"1,049",https://m.media-amazon.com/images/I/81rAtGGbc6L._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ3MDYxMzM0NzEzMjo6Mjo6&url=%2FGanesha-Plush-Stuffed-Favourite-Elephant%2Fdp%2FB0DRNKWLSN%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0DRNKWLSN%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,"13,332",4.4 out of 5 stars,399,https://m.media-amazon.com/images/I/61FvuCHYHUL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDIxMzU2MTAyODEzMjo6Mzo6&url=%2FAmazon-Brand-Reversible-Strawberry-Stuffed%2Fdp%2FB0CXDDPLQG%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0CXDDPLQG%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,3,4.5 out of 5 stars,574,https://m.media-amazon.com/images/I/61VwnG1RvhL._AC_UL320_.jpg,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MTYxNjcyNzY4ODU4NDE4OjE3NDY5ODIzODA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDQ2Mzc1Njg0MTgzMjo6NDo6&url=%2FDIKANG-Premium-Stuffed-Plushie-Plushies%2Fdp%2FB0CVXRB3L3%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%253Aamzn1.sym.70fd741c-68a9-470a-9805-115e3115104d%26cv_ct_cx%3Dsoft%2Btoys%26keywords%3Dsoft%2Btoys%26pd_rd_i%3DB0CVXRB3L3%26pd_rd_r%3Df36abb71-9d4f-44d8-8cd7-423bada782b9%26pd_rd_w%3D6tk0c%26pd_rd_wg%3DwiUD1%26pf_rd_p%3D70fd741c-68a9-470a-9805-115e3115104d%26pf_rd_r%3D4EFDQCZBCGQ8A751V7F2%26qid%3D1746982380%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
No Title,Unknown Brand,0,0,0,No Image,No Link
No Title,Unknown Brand,"13,332",4.4 out of 5 stars,198,https://m.media-amazon.com/images/I/61A2ddWFQxL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Penguin-Super-Soft-Birthday/dp/B0C46HFZX6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-8
No Title,Unknown Brand,"4,740",4.1 out of 5 stars,169,https://m.media-amazon.com/images/I/51AWNa6+TOL._AC_UL320_.jpg,https://www.amazon.in/Babique-Unicorn-Stuffed-Birthday-Yellow/dp/B08LTGRJSV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-9
No Title,Unknown Brand,"1,680",4.2 out of 5 stars,189,https://m.media-amazon.com/images/I/61ocDqkDeML._AC_UL320_.jpg,https://www.amazon.in/Storio-Plushie-Super-Adorable-Plush/dp/B0CQG83Q12/ref=sr_1_10?dib=eyJ2IjoiMSJ9.E6Z5MwHloRsESI6VE7xAHiwqCI8EbLa_eRLwmphLVU8uOOFmeUWPwK_MvrxzN_Rh9Hap4eLAwSW875N7Pq4KW8biFn5gpnUIINomUt03pkvrD1GbSDav7eAmIcTcqgUJ8-xYdw2LoguqdV-30DvLt206m9kQuNhAnC2Kpd6DGrHBtTPMn26HR9C2_ViPCvHnKlGwcpvpTmF_e1-sGw_7GWTh84pCH-QjCn9M86ldiaoFBZfFrQ2uWzlPAq9JjL0w0PxJAlq2Wio6da843cfYb8j8SRTAsvr0NlaIBGpprtQ.L4jYrhxIqcTMhpiMAVvLO8Bh62aTx75Xd2_Z7CB5PSU&dib_tag=se&keywords=soft+toys&qid=1746982380&sr=8-10
